# MD Simulation - NVE Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
         1        0.100       299.15      0.00710510    -40.49105130    -40.48394620
         2        0.200       297.21      0.00705911    -40.49100526    -40.48394615
         3        0.300       294.22      0.00698806    -40.49093415    -40.48394609
         4        0.400       290.21      0.00689290    -40.49083891    -40.48394601
         5        0.500       285.24      0.00677486    -40.49072078    -40.48394591
         6        0.600       279.37      0.00663537    -40.49058117    -40.48394581
         7        0.700       272.66      0.00647604    -40.49042173    -40.48394569
         8        0.800       265.20      0.00629870    -40.49024426    -40.48394556
         9        0.900       257.05      0.00610528    -40.49005072    -40.48394543
        10        1.000       248.32      0.00589786    -40.48984316    -40.48394530
